rail_zenith[°],  wind_angle[°],  wind_speed[m/s], acc_noise[m/s²], gyro_noise[m/s²], baro_noise[m/s²], wind_gust_x[m/s], wind_gust_y[m/s], end_burn[s], used_propellant[kg], apogee_error[m], Kalman error_x[m], Kalman error_y[m], Kalman error_z[m]
1.28 25.66 2.58 0.10791 0.02936 0.25 3.69 9.40 6.36 8.77 -53.2 95.3 -3.6 0.1 3.7 -0.4 0.2 0.04339
9.37 121.65 11.85 0.00833 0.03944 0.78 8.47 8.40 6.66 9.09 -35.9 -97.9 145.3 -0.1 -4.9 8.0 -0.8 0.05454
7.53 6.03 13.20 0.09131 0.02885 0.50 7.14 5.46 7.35 9.69 -55.8 167.6 68.5 0.1 9.1 2.0 0.8 0.04163
7.30 83.75 5.53 0.06545 0.01024 0.13 5.75 4.86 6.91 9.04 -44.2 14.2 -12.4 0.1 0.4 -0.6 -0.6 0.05449
1.97 43.05 13.58 0.10406 0.03770 0.70 8.28 8.40 6.75 9.21 -25.3 -3.2 135.5 -0.1 0.5 6.2 0.1 0.04826
0.10 162.65 9.78 0.06747 0.03162 0.29 2.81 9.71 6.57 8.97 -16.4 -20.6 -63.8 -0.1 -1.1 -4.0 0.0 0.04727
3.31 41.35 9.42 0.01389 0.01049 0.21 0.03 1.23 6.55 9.06 -20.0 24.3 19.3 -0.1 1.4 0.9 0.3 0.04556
3.47 11.44 12.25 0.02641 0.01096 0.67 6.13 7.83 7.05 9.35 -73.0 16.7 18.5 0.3 1.3 1.0 0.4 0.04047
9.73 57.20 11.75 0.02185 0.01379 0.63 7.17 3.70 7.11 9.57 -57.1 -1.7 11.0 -0.0 0.1 1.2 -0.9 0.04086
6.10 89.53 12.88 0.01992 0.04822 0.68 6.79 0.90 6.68 9.15 -6.9 7.6 1.6 -0.2 0.1 0.2 0.8 0.05181
7.56 135.81 13.99 0.02707 0.03814 0.05 8.13 5.68 6.78 9.05 8.5 -106.9 -24.0 0.1 -4.0 -0.9 0.3 0.05292
1.38 63.07 12.45 0.01780 0.00468 0.56 9.95 2.07 6.87 9.14 -31.7 -5.1 -20.3 0.1 -0.1 -1.0 -0.6 0.04072
4.78 108.81 11.78 0.18367 0.04628 0.32 5.91 4.31 6.99 9.13 -34.5 39.2 -30.9 -0.1 2.5 -1.0 0.4 0.05342
4.38 4.90 5.15 0.16497 0.02916 0.16 4.82 6.86 6.81 9.01 -6.9 46.0 1.9 0.0 2.4 0.6 0.1 0.04202
2.12 176.84 11.77 0.08862 0.03930 0.26 5.21 7.85 6.57 8.98 16.2 -123.4 71.3 -0.1 -6.7 3.2 -0.2 0.04197
4.71 99.71 5.12 0.09771 0.01360 0.50 9.32 0.29 6.50 8.80 -55.4 -0.9 36.7 0.0 0.0 2.0 0.1 0.05395
0.06 172.46 12.66 0.01136 0.00693 0.51 7.45 7.87 6.59 9.06 -28.8 18.1 -28.5 -0.2 1.1 -1.3 -0.2 0.05536
7.93 15.33 11.65 0.08402 0.04660 0.25 8.31 6.46 7.07 9.54 -65.5 86.8 -108.2 0.1 4.8 -4.4 0.3 0.04150
0.04 128.03 4.82 0.05854 0.03127 0.44 1.44 2.57 6.60 8.83 53.5 102.1 90.3 -0.0 5.2 4.5 -0.0 0.05531
1.61 20.75 6.59 0.14930 0.01881 0.84 1.90 4.84 6.49 8.92 49.6 -11.0 -73.6 -0.0 -0.5 -3.3 -0.7 0.05169
3.22 74.88 2.63 0.10171 0.01905 0.07 0.94 5.23 6.36 8.76 -41.8 -94.5 -4.5 -0.0 -4.1 -0.3 0.8 0.04492
9.64 130.98 3.05 0.03739 0.04135 1.00 0.73 3.55 6.84 8.97 -21.5 131.2 -83.8 -0.2 6.6 -3.5 -0.6 0.04731
7.39 75.65 12.36 0.01591 0.01263 0.76 9.99 6.05 7.05 9.34 -70.0 4.9 5.1 0.2 0.3 -0.2 0.3 0.04218
3.34 39.59 11.20 0.00627 0.01790 0.51 0.98 7.19 6.71 9.18 -30.7 62.9 65.4 0.0 3.3 3.3 0.9 0.04868
5.75 114.06 9.39 0.13614 0.02051 0.76 2.24 3.65 6.67 8.94 3.3 10.7 -13.7 0.3 1.0 -1.0 0.5 0.04549
8.42 32.24 5.62 0.18932 0.03336 0.25 9.91 8.80 6.76 9.11 -29.2 -54.5 55.3 -0.0 -3.2 3.0 0.1 0.04358
0.42 8.72 0.63 0.16841 0.00704 0.97 9.87 1.05 6.42 8.80 39.7 4.6 -28.0 -0.6 -0.0 -1.4 -2.2 0.04980
9.04 153.50 7.21 0.11202 0.01068 0.85 8.20 9.10 6.35 8.84 56.9 -31.7 -32.9 0.0 -1.3 -1.9 -0.7 0.05007
7.37 134.84 14.72 0.04457 0.00665 0.94 6.21 9.45 6.89 9.17 -57.4 37.7 -6.3 -0.1 2.1 -0.3 -0.0 0.04236
7.23 34.65 6.79 0.16584 0.01042 0.83 2.30 9.88 6.69 9.14 -23.7 54.0 -22.1 -0.3 2.9 -1.5 0.4 0.04289
9.91 112.83 4.28 0.18421 0.01806 0.72 3.45 9.76 6.69 9.04 -13.5 -78.6 -22.8 0.2 -3.4 -1.1 -0.1 0.05535
3.49 166.46 1.19 0.18090 0.03519 0.80 3.65 9.57 6.37 8.78 48.5 154.0 38.0 -0.5 7.4 1.0 -0.7 0.05192
8.19 14.28 14.37 0.05588 0.02660 0.67 6.01 2.39 7.46 9.94 -100.6 60.9 61.1 0.5 3.3 3.2 0.4 0.04029
5.09 55.02 4.50 0.12626 0.02725 0.33 9.11 1.33 6.66 8.87 -16.9 78.0 -92.6 0.0 3.1 -4.7 1.1 0.04977
2.00 123.16 10.06 0.07945 0.03422 0.08 4.49 6.54 6.56 8.94 -10.5 35.1 32.3 0.0 1.7 2.3 -0.1 0.05541
6.40 92.38 1.04 0.07601 0.03816 0.26 2.96 6.13 6.70 8.91 -27.1 -51.7 58.0 0.1 -2.6 2.4 -0.3 0.05159
2.89 90.22 13.20 0.05692 0.01033 0.26 1.50 0.16 6.72 9.16 16.1 24.1 38.1 -0.0 1.5 2.2 0.4 0.05506
9.59 106.82 8.38 0.16383 0.00888 0.91 4.55 5.07 6.80 9.09 14.0 39.7 19.4 -0.8 1.9 0.6 0.4 0.04412
3.66 83.87 12.12 0.07656 0.01538 0.25 8.17 6.37 6.87 9.16 -32.8 2.2 16.6 0.0 0.3 1.2 0.2 0.05367
8.66 159.19 6.01 0.11106 0.03803 0.05 2.46 0.05 6.35 8.79 37.8 123.1 65.9 0.0 5.8 3.9 -0.3 0.04398
2.27 91.56 13.43 0.04460 0.04893 0.34 8.26 9.69 6.66 9.10 -51.4 85.6 -8.4 -0.1 3.9 1.2 0.5 0.04094
6.88 179.17 3.07 0.15734 0.01145 0.63 0.08 3.53 6.44 8.76 -7.7 -9.2 -33.0 -0.2 -0.5 -1.5 0.4 0.04183
9.57 95.35 7.23 0.16670 0.02440 0.29 3.98 3.56 6.86 9.12 -45.7 -107.4 -10.4 -0.1 -5.4 0.1 -0.4 0.04373
5.28 115.05 11.46 0.00872 0.02658 0.96 6.78 9.40 6.79 9.07 -56.6 6.2 39.5 0.1 0.5 1.6 -0.5 0.04834
