rail_zenith[°],  wind_angle[°],  wind_speed[m/s], acc_noise[m/s²], gyro_noise[m/s²], baro_noise[m/s²], wind_gust_x[m/s], wind_gust_y[m/s], end_burn[s], used_propellant[kg], apogee_error[m], Kalman error_x[m], Kalman error_y[m], Kalman error_z[m]
2.01 40.53 3.86 0.18428 0.01439 0.35 2.82 1.76 6.67 8.92 12.1 -58.5 -35.4 0.0 -2.0 -1.9 -0.6 0.05884
2.94 127.70 4.07 0.20683 0.00887 0.89 9.42 0.16 6.63 8.87 13.5 0.2 -31.5 0.7 0.1 -0.8 -0.7 0.04572
0.96 115.21 1.95 0.28434 0.02100 0.54 4.32 9.74 10.68 7.10 -1148.6 175.8 -98.4 -0.1 9.2 -5.3 0.1 0.02195
1.89 103.09 10.72 0.16962 0.02222 0.48 2.26 3.74 6.85 9.15 -10.0 -33.2 -22.8 -0.1 -2.1 -1.0 -0.7 0.03239
1.43 70.07 1.27 0.11069 0.03944 0.33 3.32 8.10 6.63 8.89 13.6 -41.3 25.0 -0.0 -1.8 1.9 -0.7 0.03657
3.43 149.81 4.11 0.05595 0.03201 0.85 9.95 8.70 6.63 8.86 1.1 172.3 -122.0 -0.3 8.4 -4.4 0.0 0.02683
7.85 13.83 7.18 0.13891 0.04756 0.14 3.11 6.58 7.07 9.40 -26.5 319.6 -319.6 0.0 17.8 -16.4 -0.0 0.05302
4.47 15.82 9.96 0.08060 0.02928 0.47 8.01 4.40 6.99 9.29 -26.2 138.0 23.3 -0.0 8.3 2.4 -0.2 0.02395
9.01 37.50 11.38 0.22732 0.02467 0.00 8.42 9.09 7.45 9.74 -61.4 -0.1 -138.4 0.0 -0.6 -8.1 0.0 0.03728
7.35 87.69 13.09 0.09326 0.03115 0.22 5.69 0.51 7.17 9.44 -37.5 26.5 70.3 0.1 0.7 4.3 -0.3 0.02549
5.04 133.26 3.01 0.03338 0.02725 0.13 8.87 6.58 6.63 8.92 20.6 71.2 57.5 -0.0 3.7 2.9 -1.8 0.05078
9.95 69.11 11.13 0.00293 0.02141 0.68 8.32 1.80 7.26 9.55 -27.6 44.6 85.5 -0.8 2.8 3.6 -0.1 0.05010
6.35 51.11 7.35 0.29483 0.00290 0.30 8.51 5.87 7.07 9.17 -19.6 -13.9 8.7 -0.0 -0.0 0.3 0.6 0.02381
4.95 10.70 2.41 0.25611 0.01710 0.06 2.46 2.29 10.09 9.12 6.6 -49.8 -30.2 0.0 -2.4 -2.4 0.5 0.03419
4.04 83.61 4.87 0.01161 0.04045 0.73 7.83 5.63 6.67 8.94 -1.6 212.0 252.2 -0.2 9.9 12.7 0.3 0.03488
1.02 135.56 13.36 0.05981 0.02360 0.68 8.62 5.25 6.88 9.19 -10.0 13.2 -5.9 -0.4 0.5 0.8 0.7 0.03881
9.25 178.17 3.28 0.02514 0.00917 0.07 4.76 2.44 6.67 8.95 2.5 -36.7 -15.2 -0.0 -2.1 -0.8 -0.3 0.03720
9.79 174.42 4.57 0.05266 0.00195 0.14 9.42 1.68 6.67 8.94 -20.6 -1.5 5.3 -0.0 -0.2 0.3 0.2 0.02670
5.47 32.28 12.37 0.05375 0.04504 0.18 3.35 5.79 7.23 9.55 -82.9 -194.6 -147.3 -0.1 -10.4 -8.2 1.5 0.02973
8.10 161.29 10.81 0.26076 0.00420 0.42 3.13 1.28 6.69 8.94 14.4 -15.1 -22.7 0.0 -0.4 -0.5 -0.4 0.02379
0.17 155.46 3.10 0.00036 0.02674 0.48 8.73 5.12 6.52 8.83 -5.1 -9.5 241.2 -0.1 -0.6 14.0 0.3 0.05557
2.82 122.11 3.34 0.03470 0.00866 0.24 6.82 5.23 6.60 8.86 -0.2 -48.3 15.1 0.1 -2.6 1.0 0.7 0.02384
1.28 121.43 7.50 0.21908 0.01684 0.22 2.18 1.07 6.64 8.92 -24.3 92.4 50.7 0.2 4.2 2.5 1.4 0.04977
5.87 25.15 2.46 0.15969 0.04768 0.93 6.35 2.53 6.69 8.98 9.6 -33.0 89.4 -0.1 -2.0 3.4 -0.0 0.05963
1.05 59.60 12.29 0.22646 0.02311 0.22 2.05 3.34 6.94 9.29 -11.2 -113.4 20.9 -0.0 -5.5 2.0 -0.7 0.03795
9.92 11.58 13.55 0.18668 0.04510 0.00 2.73 5.45 8.67 10.32 -96.0 100.0 -381.7 -0.0 6.1 -23.7 0.5 0.03353
9.87 80.81 10.07 0.15218 0.02776 0.53 2.51 4.95 7.15 9.45 -50.6 84.2 -31.8 0.4 5.2 -2.1 0.3 0.03053
5.40 42.43 5.55 0.03092 0.02697 0.90 9.29 2.21 6.75 9.03 1.7 -74.6 45.2 -0.2 -2.6 2.0 -0.5 0.03485
0.75 108.92 14.48 0.07118 0.02114 0.25 9.30 4.50 7.00 9.27 -29.0 -9.5 -138.1 -0.1 0.1 -7.5 0.4 0.02203
5.27 118.38 10.35 0.05796 0.02945 0.85 2.07 7.43 6.81 9.08 -32.6 -43.1 -38.2 0.0 -1.3 -2.1 1.1 0.02374
5.87 67.60 9.21 0.06618 0.04524 0.61 5.16 5.29 6.94 9.26 -16.5 -363.2 19.0 0.3 -19.1 -0.8 -0.4 0.03909
9.26 177.84 6.18 0.11427 0.00655 0.08 5.19 8.09 6.62 8.91 12.4 1.4 20.0 -0.0 -0.0 1.1 -0.4 0.03389
8.49 0.14 13.88 0.25747 0.03212 0.33 9.38 4.27 7.76 9.97 -76.8 79.2 -136.1 -0.0 3.3 -5.4 0.7 0.02628
4.75 16.83 2.80 0.07346 0.00508 0.67 1.04 1.07 6.70 8.97 -1.7 12.3 -17.4 -0.1 0.3 -1.0 -0.2 0.05803
9.13 40.28 1.79 0.18212 0.02069 0.91 7.72 7.30 6.82 9.07 -3.4 -12.6 6.8 0.4 -0.2 0.3 -0.8 0.02403
0.81 119.77 7.19 0.20777 0.00494 0.25 4.30 4.21 6.72 8.98 17.1 2.9 11.4 0.1 -0.0 0.4 -1.6 0.02918
1.88 127.79 7.15 0.00210 0.00746 0.24 5.54 5.72 6.68 8.93 -6.3 -6.5 -17.2 -0.1 -0.1 -1.0 -0.1 0.03057
6.89 135.52 14.36 0.01961 0.00729 0.75 3.02 9.67 6.85 9.25 3.5 -14.7 33.9 0.2 -0.3 1.4 -2.1 0.05762
8.25 53.59 2.41 0.14572 0.02112 0.93 5.60 9.59 6.82 9.13 -6.5 -55.9 22.4 0.2 -2.3 1.5 -0.3 0.05172
1.29 28.19 1.32 0.15050 0.04653 0.09 0.71 8.00 6.60 8.88 12.4 -121.4 -102.0 -0.0 -3.8 -6.4 -0.6 0.05784
7.36 176.91 14.54 0.00767 0.03937 0.36 9.21 2.17 6.67 8.99 8.0 14.5 225.2 0.2 -0.1 10.3 0.4 0.04500
0.44 6.00 14.20 0.09695 0.04504 0.09 3.61 3.37 7.08 9.40 -41.2 -54.2 -41.8 0.0 -2.0 -0.8 0.4 0.04172
2.56 99.59 3.00 0.09109 0.02946 0.48 7.77 4.55 6.58 8.90 24.8 215.8 122.4 0.1 11.0 6.0 -0.5 0.04600
5.30 48.94 6.08 0.24322 0.00277 0.30 4.66 3.71 6.81 9.11 -2.2 4.9 9.7 0.1 -1.3 0.4 -0.5 0.04777
4.78 118.50 11.08 0.21730 0.01423 0.97 9.76 0.58 6.75 9.02 -20.0 -33.1 -20.3 -0.2 -1.8 -0.8 0.5 0.02844
3.20 63.67 11.83 0.22813 0.01442 0.60 3.18 9.83 10.65 8.82 -493.4 37.6 -9.3 -0.2 1.6 -0.3 1.5 0.03338
2.16 44.40 11.71 0.23761 0.03451 0.51 7.02 4.81 6.97 9.26 -9.0 -199.7 8.6 0.4 -9.1 2.4 -0.7 0.04897
0.24 2.56 14.89 0.07244 0.02212 0.72 7.00 9.19 7.17 9.42 -17.9 79.9 24.5 0.4 3.9 1.9 -0.5 0.02105
